
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
              R2018b Update 4 (9.5.0.1067069) 64-bit (glnxa64)
                             February 28, 2019

 
For online documentation, see https://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
trial: 1
The directed graph is generated.
ASYSONATA-dimi: 33000-th iteration, the error is 0.000225
ASYSONATA-dimi: 34000-th iteration, the error is 0.000176
ASYSONATA-dimi: 35000-th iteration, the error is 0.000137
ASYSONATA-dimi: 36000-th iteration, the error is 0.000107
ASYSONATA-dimi: 37000-th iteration, the error is 0.000085
ASYSONATA-dimi: 38000-th iteration, the error is 0.000068
ASYSONATA-dimi: 39000-th iteration, the error is 0.000054
ASYSONATA-dimi: 40000-th iteration, the error is 0.000042
ASYSONATA-dimi: 41000-th iteration, the error is 0.000034
ASYSONATA-dimi: 42000-th iteration, the error is 0.000027
ASYSONATA-dimi: 43000-th iteration, the error is 0.000021
ASYSONATA-dimi: 44000-th iteration, the error is 0.000017
ASYSONATA-dimi: 45000-th iteration, the error is 0.000014
ASYSONATA-dimi: 46000-th iteration, the error is 0.000011
ASYSONATA-dimi: 47000-th iteration, the error is 0.000009
ASYSONATA-dimi: 48000-th iteration, the error is 0.000007
ASYSONATA-dimi: 49000-th iteration, the error is 0.000006
ASYSONATA-dimi: 50000-th iteration, the error is 0.000005
ASYSONATA-dimi: 51000-th iteration, the error is 0.000004
ASYSONATA-dimi: 52000-th iteration, the error is 0.000003
ASYSONATA-dimi: 53000-th iteration, the error is 0.000003
ASYSONATA-dimi: 54000-th iteration, the error is 0.000002
ASYSONATA-dimi: 55000-th iteration, the error is 0.000002
ASYSONATA-dimi: 56000-th iteration, the error is 0.000001
ASYSONATA-dimi: 57000-th iteration, the error is 0.000001
ASYSONATA-dimi: 58000-th iteration, the error is 0.000001
ASYSONATA-dimi: 59000-th iteration, the error is 0.000001
ASYSONATA-dimi: 60000-th iteration, the error is 0.000001
ASYSONATA-dimi: 61000-th iteration, the error is 0.000001
ASYSONATA-dimi: 62000-th iteration, the error is 0.000000
ASYSONATA-dimi: 63000-th iteration, the error is 0.000000
ASYSONATA-dimi: 64000-th iteration, the error is 0.000000
ASYSONATA-dimi: 65000-th iteration, the error is 0.000000
ASYSONATA-dimi: 66000-th iteration, the error is 0.000000
ASYSONATA-dimi: 67000-th iteration, the error is 0.000000
ASYSONATA-dimi: 68000-th iteration, the error is 0.000000
ASYSONATA-dimi: 69000-th iteration, the error is 0.000000
ASYSONATA-dimi: 70000-th iteration, the error is 0.000000
ASYSONATA-dimi: 71000-th iteration, the error is 0.000000
ASYSONATA-dimi: 72000-th iteration, the error is 0.000000
ASYSONATA-dimi: 73000-th iteration, the error is 0.000000
ASYSONATA-dimi: 74000-th iteration, the error is 0.000000
ASYSONATA-dimi: 75000-th iteration, the error is 0.000000
ASYSONATA-dimi: 76000-th iteration, the error is 0.000000
ASYSONATA-dimi: 77000-th iteration, the error is 0.000000
ASYSONATA-dimi: 78000-th iteration, the error is 0.000000
ASYSONATA-dimi: 79000-th iteration, the error is 0.000000
ASYSONATA-dimi: 80000-th iteration, the error is 0.000000
ASYSONATA-dimi Err: 1.7668e-08
AsySubPush: 1000-th iteration, the error is 18.964923
AsySubPush: 2000-th iteration, the error is 18.730147
AsySubPush: 3000-th iteration, the error is 18.546439
AsySubPush: 4000-th iteration, the error is 18.321801
AsySubPush: 5000-th iteration, the error is 18.166567
AsySubPush: 6000-th iteration, the error is 17.970133
AsySubPush: 7000-th iteration, the error is 17.777033
AsySubPush: 8000-th iteration, the error is 17.595668
AsySubPush: 9000-th iteration, the error is 17.399311
AsySubPush: 10000-th iteration, the error is 17.191872
AsySubPush: 11000-th iteration, the error is 17.029098
AsySubPush: 12000-th iteration, the error is 16.855309
AsySubPush: 13000-th iteration, the error is 16.680508
AsySubPush: 14000-th iteration, the error is 16.503983
AsySubPush: 15000-th iteration, the error is 16.338639
AsySubPush: 16000-th iteration, the error is 16.132639
AsySubPush: 17000-th iteration, the error is 15.983613
AsySubPush: 18000-th iteration, the error is 15.841651
AsySubPush: 19000-th iteration, the error is 15.675670
AsySubPush: 20000-th iteration, the error is 15.520676
AsySubPush: 21000-th iteration, the error is 15.360616
AsySubPush: 22000-th iteration, the error is 15.205712
AsySubPush: 23000-th iteration, the error is 15.060386
AsySubPush: 24000-th iteration, the error is 14.909992
AsySubPush: 25000-th iteration, the error is 14.769605
AsySubPush: 26000-th iteration, the error is 14.624147
AsySubPush: 27000-th iteration, the error is 14.483819
AsySubPush: 28000-th iteration, the error is 14.346669
AsySubPush: 29000-th iteration, the error is 14.211990
AsySubPush: 30000-th iteration, the error is 14.075915
AsySubPush: 31000-th iteration, the error is 13.946500
AsySubPush: 32000-th iteration, the error is 13.817910
AsySubPush: 33000-th iteration, the error is 13.689527
AsySubPush: 34000-th iteration, the error is 13.556041
AsySubPush: 35000-th iteration, the error is 13.417181
AsySubPush: 36000-th iteration, the error is 13.322543
AsySubPush: 37000-th iteration, the error is 13.201170
AsySubPush: 38000-th iteration, the error is 13.086706
AsySubPush: 39000-th iteration, the error is 12.973271
AsySubPush: 40000-th iteration, the error is 12.855006
AsySubPush: 41000-th iteration, the error is 12.748841
AsySubPush: 42000-th iteration, the error is 12.631716
AsySubPush: 43000-th iteration, the error is 12.531171
AsySubPush: 44000-th iteration, the error is 12.429735
AsySubPush: 45000-th iteration, the error is 12.322346
AsySubPush: 46000-th iteration, the error is 12.216577
AsySubPush: 47000-th iteration, the error is 12.115225
AsySubPush: 48000-th iteration, the error is 12.019992
AsySubPush: 49000-th iteration, the error is 11.929043
AsySubPush: 50000-th iteration, the error is 11.831915
AsySubPush: 51000-th iteration, the error is 11.733577
AsySubPush: 52000-th iteration, the error is 11.642376
AsySubPush: 53000-th iteration, the error is 11.552194
AsySubPush: 54000-th iteration, the error is 11.464918
AsySubPush: 55000-th iteration, the error is 11.375541
AsySubPush: 56000-th iteration, the error is 11.286205
AsySubPush: 57000-th iteration, the error is 11.201990
AsySubPush: 58000-th iteration, the error is 11.117107
AsySubPush: 59000-th iteration, the error is 11.034130
AsySubPush: 60000-th iteration, the error is 10.951765
AsySubPush: 61000-th iteration, the error is 10.870432
AsySubPush: 62000-th iteration, the error is 10.787996
AsySubPush: 63000-th iteration, the error is 10.710539
AsySubPush: 64000-th iteration, the error is 10.636198
AsySubPush: 65000-th iteration, the error is 10.557863
AsySubPush: 66000-th iteration, the error is 10.483589
AsySubPush: 67000-th iteration, the error is 10.408749
AsySubPush: 68000-th iteration, the error is 10.331377
AsySubPush: 69000-th iteration, the error is 10.261611
AsySubPush: 70000-th iteration, the error is 10.190090
AsySubPush: 71000-th iteration, the error is 10.120914
AsySubPush: 72000-th iteration, the error is 10.051009
AsySubPush: 73000-th iteration, the error is 9.977788
AsySubPush: 74000-th iteration, the error is 9.915796
AsySubPush: 75000-th iteration, the error is 9.849975
AsySubPush: 76000-th iteration, the error is 9.773521
AsySubPush: 77000-th iteration, the error is 9.714253
AsySubPush: 78000-th iteration, the error is 9.652064
AsySubPush: 79000-th iteration, the error is 9.589410
AsySubPush: 80000-th iteration, the error is 9.525483
AsySubPush Err: 9.5255
AsySPA: 1000-th iteration, the error is 12.083599
AsySPA: 2000-th iteration, the error is 10.244103
AsySPA: 3000-th iteration, the error is 9.135384
AsySPA: 4000-th iteration, the error is 8.397508
AsySPA: 5000-th iteration, the error is 7.742072
AsySPA: 6000-th iteration, the error is 7.256570
AsySPA: 7000-th iteration, the error is 6.806344
AsySPA: 8000-th iteration, the error is 6.491173
AsySPA: 9000-th iteration, the error is 6.193749
AsySPA: 10000-th iteration, the error is 5.925338
AsySPA: 11000-th iteration, the error is 5.711397
AsySPA: 12000-th iteration, the error is 5.517983
AsySPA: 13000-th iteration, the error is 5.332229
AsySPA: 14000-th iteration, the error is 5.161377
AsySPA: 15000-th iteration, the error is 5.000592
AsySPA: 16000-th iteration, the error is 4.858661
AsySPA: 17000-th iteration, the error is 4.722142
AsySPA: 18000-th iteration, the error is 4.594381
AsySPA: 19000-th iteration, the error is 4.477476
AsySPA: 20000-th iteration, the error is 4.366155
AsySPA: 21000-th iteration, the error is 4.257583
AsySPA: 22000-th iteration, the error is 4.153890
AsySPA: 23000-th iteration, the error is 4.055935
AsySPA: 24000-th iteration, the error is 3.962731
AsySPA: 25000-th iteration, the error is 3.876755
AsySPA: 26000-th iteration, the error is 3.791479
AsySPA: 27000-th iteration, the error is 3.711537
AsySPA: 28000-th iteration, the error is 3.637665
AsySPA: 29000-th iteration, the error is 3.569100
AsySPA: 30000-th iteration, the error is 3.497508
AsySPA: 31000-th iteration, the error is 3.433324
AsySPA: 32000-th iteration, the error is 3.368217
AsySPA: 33000-th iteration, the error is 3.304798
AsySPA: 34000-th iteration, the error is 3.245580
AsySPA: 35000-th iteration, the error is 3.190864
AsySPA: 36000-th iteration, the error is 3.138450
AsySPA: 37000-th iteration, the error is 3.083756
AsySPA: 38000-th iteration, the error is 3.030650
AsySPA: 39000-th iteration, the error is 2.980657
AsySPA: 40000-th iteration, the error is 2.931171
AsySPA: 41000-th iteration, the error is 2.881503
AsySPA: 42000-th iteration, the error is 2.836793
AsySPA: 43000-th iteration, the error is 2.792438
AsySPA: 44000-th iteration, the error is 2.747981
AsySPA: 45000-th iteration, the error is 2.703693
AsySPA: 46000-th iteration, the error is 2.667830
AsySPA: 47000-th iteration, the error is 2.623299
AsySPA: 48000-th iteration, the error is 2.586912
AsySPA: 49000-th iteration, the error is 2.548394
AsySPA: 50000-th iteration, the error is 2.513711
